,Massachusetts,Washington,California,Texas,Ohio,Colorado,Illinois,Delaware,Georgia,Nebraska,Virginia,Alabama,Louisiana,Minnesota,Michigan,New York,"Washington, D.C.",Idaho,Indiana,Florida,Utah,Kansas,New Jersey,Pennsylvania,Wisconsin,South Dakota,South Carolina,Alaska,Maryland,Hawaii,Vermont,Oregon,Montana,New Hampshire,Missouri,Arizona,Maine,Mississippi,Oklahoma
Massachusetts,"[20.516905, 20.528485, 20.528485, 20.466295, 20.466295, 3.098225, 3.098225, 22.554865, 22.554865, 23.515695, 23.515695, 9.970285, 9.970285, 21.635135, 21.635135, 12.4278, 12.4278, 18.79474, 18.79474, 20.67605, 20.67605, 10.11686, 10.11686, 10.2209, 10.2209, 10.559525, 10.559525, 9.729015, 9.729015, 8.59502, 8.59502, 8.650055, 8.650055, 9.79715, 9.79715, 19.517355, 19.517355, 6.5679, 6.5679, 15.38644, 15.38644, 6.53981, 6.53981, 7.758825, 7.758825, 80.681565, 80.681565, 17.349892, 17.349892, 20.819716, 20.819716, 22.352645, 22.352645, 7.32749, 7.32749, 15.922947, 15.922947, 7.183106, 7.183106, 7.379714, 7.379714, 15.773187, 15.773187, 6.95501, 6.95501, 10.97549, 10.97549, 11.531523, 11.531523, 12.817923, 12.817923, 15.6841, 15.6841, 10.325762, 10.325762, 11.401731, 11.401731, 9.95405, 9.95405]","[17.32031, 19.1574, 23.167035, 23.52417, 24.616785, 9.611035, 9.65932, 10.99208, 1.63638, 1.66404, 1.760785, 1.495735, 50.386485, 12.529215, 12.94592, 34.987375, 20.614745, 12.69398, 4.08105, 4.169445, 67.349035, 2.5918, 2.644835, 2.70167, 1.395845, 1.496815, 1.36958, 0.96358, 0.96804, 52.49469, 57.93753, 52.45743, 9.181675, 17.96227, 0.897435, 0.856201, 0.593558, 0.329426, 0.585023, 114.425394, 67.554061, 67.634702, 18.238468, 20.871172, 9.634562, 13.885443]","[20.06113, 8.005155, 44.380585, 12.96577, 150.557425, 32.789725, 1.45508, 27.926665, 1.44474, 13.308015, 8.092795, 1.954595, 22.90234, 10.79684, 12.862435, 10.679795, 12.878085, 38.288635, 0.910585, 27.47117, 27.4725, 0.687395, 80.09494, 80.1298, 80.359195, 13.511225, 2.147775, 2.093135, 21.68827, 33.048715, 79.008555, 79.090695, 79.27044, 79.316085, 79.368065, 74.679095, 12.68268, 12.72567, 12.549855, 10.606835, 4.359445, 4.4758, 35.163845, 12.257, 10.838845, 10.88508, 10.946425, 10.380775, 22.752455, 22.92634, 25.92783, 20.172675, 69.27847, 19.955205, 252.35328, 19.34294, 31.798815, 11.664205, 5.915935, 5.9312, 42.171875, 20.361625, 2.626275, 0.5552, 0.55749, 0.659865, 2.65724, 0.53737, 13.17463, 12.76259, 16.81637, 16.788225, 16.229895, 1.45886, 1.61501, 1.64595, 1.60783, 90.067785, 20.61112, 1.597685, 1.6089, 21.170855, 2.56242, 0.55072, 0.519555, 2.328125, 21.995075, 22.14883, 14.160125, 289.65668, 70.97176, 71.057075, 34.390175, 47.79516, 48.15849, 2.847135, 5.69386, 2.66316, 3.930985, 20.51471, 1.55862, 2.46175, 19.70921, 12.358295, 11.80376, 19.667684, 0.471379, 0.285763, 8.023228, 0.953981, 0.972317, 0.948227, 21.657767, 23.704325, 2.44992, 28.036614, 1.83168, 5.455105, 5.457409, 2.606593, 18.405892, 18.359044, 22.448644, 32.812039, 9.644546, 20.71066, 44.557833, 18.74458]","[10.49371, 10.75354, 11.048725, 2.461615, 31.46546, 35.719445, 22.146185, 26.513815, 19.605315, 16.641455, 22.69254, 22.944025, 9.73525, 9.92591, 26.222565, 22.293665, 7.115055, 7.794685, 3.32601, 4.19301, 4.86172, 2.35513, 11.294575, 16.847645, 17.00759, 17.281245, 25.780575, 24.11296, 15.723975, 17.67694, 17.4316, 16.728925, 14.85793, 19.103325, 8.758095, 3.85912, 4.229355, 4.70929, 2.005115, 2.171045, 2.197275, 2.24984, 2.61923, 2.906095, 25.54011, 7.574785, 7.667535, 7.6848, 14.610165, 14.70825, 6.42159, 9.79556, 5.583595, 10.664645, 22.500945, 22.72996, 23.35657, 24.45866, 22.2515, 36.612825, 37.237675, 15.018785, 1.56543, 2.267565, 6.80288, 7.15698, 1.527755, 16.66319, 15.522265, 20.696505, 46.948275, 19.691075, 38.76719, 2.265477, 31.836068, 32.809268, 24.312581, 23.261957]","[121.05558, 125.955145, 120.135975, 26.40805, 32.828935, 14.87417, 102.00133, 54.130925, 127.86359, 118.692485, 31.38663, 31.565574, 31.637767, 31.348231]","[44.388665, 19.883095, 48.878595, 49.74372, 30.0817275, 54.488155, 29.70056, 137.333635, 13.41759, 13.99642, 37.086205, 131.63694, 15.003565, 16.297055, 19.88245, 20.870635, 15.31788, 15.70768, 21.142366, 124.512676, 40.240136, 19.7929, 22.363396]","[9.71727, 9.350515, 109.22219, 104.892645, 1.4029, 102.682425, 13.20339, 12.693115, 16.300295, 109.731125, 1.879395, 115.9658, 49.37167, 2.0347, 33.606395, 106.732806, 5.25773, 108.537622, 10.967042, 11.592195, 9.22445, 20.246788, 20.8297, 20.835076, 20.981764, 20.130052]",[12.72384],"[13.812585, 10.44331, 20.863585, 21.2046, 23.302755, 19.741015, 8.64959, 4.887605, 107.150795, 30.530005, 31.5204, 23.750045, 11.08064, 0.804394, 0.941937, 0.2779, 19.638624, 19.66556]","[32.66098, 47.328235, 52.283385, 28.44103, 28.83827, 29.42869, 38.049905]","[20.653945, 20.813325, 6.79595, 24.03568, 25.99211, 28.20268, 23.59549, 27.918625, 23.95726, 20.111145, 4.07818, 7.86623, 11.868315, 18.066575, 18.73896, 22.287355, 22.504245, 11.937895, 9.720105, 8.680685, 28.276845, 32.53162, 29.14276, 30.511365, 53.07255, 113.889795, 28.84779, 11.251085, 10.263155, 11.754255, 20.74501, 23.7821, 9.065765, 4.05411, 4.094615, 62.27801, 62.905155, 60.46204, 8.95337, 7.901635, 9.587405, 22.885155, 21.522995, 18.856925, 13.333455, 19.711005, 10.21293, 25.02177, 25.505285, 19.2169, 18.82522, 20.222212, 12.421635, 11.949315, 16.184068, 20.060932, 21.12538, 24.433157, 25.174277, 27.520518, 18.494212, 29.534981]",,"[52.988295, 132.003725, 20.34867, 20.24518]","[19.32538, 19.468295, 41.98964, 121.651025, 135.25734, 3.225015, 3.36655, 3.184525, 121.708195, 2.810375, 12.154185, 2.7025, 22.177755, 22.486735, 21.459505, 126.297085, 14.65052, 44.241718]","[19.68586, 126.93909, 53.272505, 132.027965, 30.205865, 36.237845, 121.2211, 120.019795, 7.2997, 114.714286, 109.332502]","[13.753515, 13.795345, 3.704, 16.944015, 17.1926, 15.577095, 16.966295, 15.433735, 4.028645, 5.063745, 3.88762, 16.34446, 14.56364, 3.40105, 2.928745, 3.304495, 67.561775, 75.700545, 55.61184, 17.05201, 10.785295, 11.84192, 14.77354, 16.738315, 17.690985, 13.63122, 19.332755, 19.85705, 16.002485, 14.045135, 10.64671, 0.927635, 0.87466, 7.193525, 9.011515, 10.727715, 7.192525, 9.81587, 10.47755, 15.6969, 9.64665, 11.92664, 19.705965, 117.029505, 16.07544, 3.25054, 3.096875, 3.139755, 25.844065, 31.33708, 6.96188, 17.32625, 18.298345, 14.48578, 34.73176, 9.667605, 11.973255, 11.992185, 9.582295, 17.244655, 83.66953, 87.834495, 83.545095, 36.975625, 37.65864, 15.333625, 12.38064, 12.68576, 11.95213, 8.12622, 1.215005, 6.732323, 3.026947, 2.943275, 25.029894, 27.202565, 42.172424, 21.856516, 11.41325, 13.870083, 16.691716, 21.018628, 21.129221, 21.661444, 20.242181, 17.101059, 17.66554, 17.685508, 19.249156, 15.395332, 10.501634, 11.101442, 10.137602]","[14.866315, 11.293106, 12.015434]",[124.843965],"[26.83081, 26.877135, 35.900405, 26.6665]","[120.205195, 125.757425, 12.79819, 20.677325, 46.245775, 1.676365, 1.71133, 1.822245, 1.64942, 51.00893, 28.763775, 12.26438, 20.03902, 30.384955, 11.6872, 24.601835, 24.73716, 131.284485, 27.20919, 31.226905, 25.8081, 21.506845, 16.09558, 2.575165, 12.800595, 10.20623, 17.452575, 4.162735, 17.884786, 32.36043, 66.934106, 29.414517, 18.339076, 10.969346]","[26.839985, 81.270655, 148.87013, 19.76549, 58.907655, 52.181771]","[12.9489, 12.013135, 0.55896, 0.584225, 1.461504, 1.761024]","[14.08822, 49.588145, 16.241355, 22.460055, 17.058425, 8.57854, 21.353915, 17.541615, 12.428705, 37.41874, 37.734285, 18.31552, 35.837045, 12.715475, 16.094475, 16.299765, 10.50402, 21.480955, 38.059555, 12.68872, 14.8572, 10.109905, 11.58148, 10.61769, 34.867825, 36.06349, 36.61078, 17.413615, 36.974885, 37.161695, 37.65783, 6.277911, 6.095453, 10.172162, 20.341252, 11.58221, 10.966274]","[21.765475, 104.3285, 21.902185, 22.63349, 21.04254, 9.719015, 15.957495, 23.9851, 39.49646, 14.512395, 10.14445, 39.756039, 36.275719, 10.414082, 13.688067]","[131.901835, 57.425665]",,"[33.420855, 35.58448, 121.210915, 11.58645, 24.647725, 26.11683, 42.10806, 43.66678, 24.194615]",[92.765765],"[4.702455, 1.89961, 41.603645, 41.64969, 41.65103, 1.831625, 4.73806, 23.17183, 23.349705, 4.113409, 4.144897]","[72.58862, 85.902025, 56.23481, 81.264965, 98.9179875, 67.6275]","[18.448815, 17.779695, 64.50476]","[4.87309, 13.21566, 13.238935, 16.874045, 5.448955, 5.531445, 5.63658]",,"[32.627685, 118.941685, 25.610055, 12.735155, 13.34417, 12.204555, 79.652305, 31.37211, 31.43088, 13.425645, 13.698325, 12.304545, 10.11788, 11.667695, 11.970795, 18.539735, 11.408155, 10.84738, 11.397891]","[17.089365, 39.57057, 119.655275, 32.940405, 32.966415, 8.776665, 57.776285, 58.518765, 39.860705, 19.216025, 19.25853, 8.9796, 9.687385, 20.531865, 8.63004]","[18.463335, 22.157845, 32.16162, 38.739255, 46.33287, 22.54257, 27.206405, 21.28116, 36.419759, 40.543753]","[32.791715, 32.634455, 21.682915, 24.667405, 20.111]","[18.55396, 19.23541, 20.848915, 21.91266, 18.469295]","[9.948795, 19.712955, 20.27085, 21.679235, 9.65999, 15.625815]"
Washington,"[17.32031, 19.1574, 23.167035, 23.52417, 24.616785, 9.611035, 9.65932, 10.99208, 1.63638, 1.66404, 1.760785, 1.495735, 50.386485, 12.529215, 12.94592, 34.987375, 20.614745, 12.69398, 4.08105, 4.169445, 67.349035, 2.5918, 2.644835, 2.70167, 1.395845, 1.496815, 1.36958, 0.96358, 0.96804, 52.49469, 57.93753, 52.45743, 9.181675, 17.96227, 0.897435, 0.856201, 0.593558, 0.329426, 0.585023, 114.425394, 67.554061, 67.634702, 18.238468, 20.871172, 9.634562, 13.885443]","[35.601665, 36.310905, 36.310905, 37.449415, 37.449415, 29.84878, 29.84878, 2.93344, 2.93344, 2.94935, 2.94935, 2.9603, 2.9603, 3.13659, 3.13659, 4.00343, 4.00343, 2.78803, 2.78803, 9.988905, 9.988905, 10.57722, 10.57722, 8.832335, 8.832335, 3.167585, 3.167585, 3.27252, 3.27252, 3.08656, 3.08656, 2.54073, 2.54073, 2.62965, 2.62965, 2.667935, 2.667935, 2.28031, 2.28031, 10.82041, 10.82041, 39.60156, 39.60156, 588.69743, 588.69743, 10.096715, 10.096715, 8.903925, 8.903925, 13.142145, 13.142145, 8.40292, 8.40292, 3.011155, 3.011155, 3.011495, 3.011495, 2.80755, 2.80755, 2.826355, 2.826355, 2.831185, 2.831185, 3.170945, 3.170945, 3.17459, 3.17459, 2.79121, 2.79121, 1.025395, 1.025395, 1.051285, 1.051285, 1.15959, 1.15959, 1.16878, 1.16878, 0.968245, 0.968245, 9.76334, 9.76334, 11.74358, 11.74358, 12.549465, 12.549465, 9.70759, 9.70759, 9.578365, 9.578365, 9.928835, 9.928835, 9.965785, 9.965785, 9.55785, 9.55785, 9.54419, 9.54419, 8.123215, 8.123215, 13.768085, 13.768085, 13.93933, 13.93933, 14.27334, 14.27334, 14.6691, 14.6691, 14.69775, 14.69775, 12.89373, 12.89373, 27.965795, 27.965795, 0.907245, 0.907245, 0.945875, 0.945875, 1.059725, 1.059725, 1.38124, 1.38124, 1.59039, 1.59039, 0.900255, 0.900255, 2.958555, 2.958555, 3.00504, 3.00504, 3.05514, 3.05514, 3.06108, 3.06108, 3.11959, 3.11959, 2.88818, 2.88818, 10.9044, 10.9044, 11.02388, 11.02388, 10.22558, 10.22558, 35.65515, 35.65515, 34.69925, 34.69925, 12.8553, 12.8553, 13.29134, 13.29134, 17.023965, 17.023965, 17.035745, 17.035745, 17.092395, 17.092395, 12.80498, 12.80498, 12.144215, 12.144215, 11.34024, 11.34024, 9.828215, 9.828215, 10.223035, 10.223035, 9.647425, 9.647425, 0.83979, 0.83979, 0.84713, 0.84713, 0.89442, 0.89442, 0.759645, 0.759645, 4.10385, 4.10385, 4.11747, 4.11747, 4.318255, 4.318255, 3.89963, 3.89963, 20.625075, 20.625075, 24.34322, 24.34322, 28.00071, 28.00071, 28.10571, 28.10571, 18.533055, 18.533055, 21.24009, 21.24009, 12.952225, 12.952225, 26.387755, 26.387755, 12.79751, 12.79751, 30.410815, 30.410815, 30.411205, 30.411205, 7.685185, 7.685185, 8.55799, 8.55799, 9.214305, 9.214305, 9.28821, 9.28821, 7.457905, 7.457905, 14.977975, 14.977975, 15.03451, 15.03451, 15.20387, 15.20387, 15.29897, 15.29897, 16.05608, 16.05608, 14.916695, 14.916695, 15.926345, 15.926345, 18.11387, 18.11387, 18.68983, 18.68983, 15.76204, 15.76204, 0.57588, 0.57588, 0.57635, 0.57635, 0.80864, 0.80864, 0.396955, 0.396955, 6.484485, 6.484485, 6.55989, 6.55989, 6.698345, 6.698345, 6.734725, 6.734725, 6.44312, 6.44312, 2.731625, 2.731625, 3.170095, 3.170095, 2.630585, 2.630585, 10.019855, 10.019855, 10.21207, 10.21207, 10.43023, 10.43023, 10.820965, 10.820965, 9.845885, 9.845885, 9.44699, 9.44699, 9.735825, 9.735825, 9.90034, 9.90034, 10.186425, 10.186425, 9.122425, 9.122425, 1.041965, 1.041965, 1.092805, 1.092805, 1.356825, 1.356825, 1.025405, 1.025405, 11.057325, 11.057325, 11.230325, 11.230325, 13.57483, 13.57483, 10.60929, 10.60929, 10.62043, 10.62043, 10.758025, 10.758025, 11.96899, 11.96899, 10.252775, 10.252775, 1.18611, 1.18611, 1.19707, 1.19707, 1.316695, 1.316695, 12.870245, 12.870245, 12.962955, 12.962955, 13.629175, 13.629175, 13.630135, 13.630135, 12.629565, 12.629565, 12.5122, 12.5122, 13.8368, 13.8368, 30.30251, 30.30251, 11.7668, 11.7668, 1.144586, 1.144586, 1.154919, 1.154919, 1.277272, 1.277272, 1.294915, 1.294915, 0.360571, 0.360571, 0.347166, 0.347166, 0.407977, 0.407977, 0.313168, 0.313168, 1.381633, 1.381633, 11.315714, 11.315714, 11.361795, 11.361795, 11.69357, 11.69357, 11.811074, 11.811074, 10.267394, 10.267394, 12.582915, 12.582915, 15.228676, 15.228676, 15.591172, 15.591172, 12.342531, 12.342531, 9.836546, 9.836546, 9.921794, 9.921794, 10.133762, 10.133762, 10.199042, 10.199042, 10.242818, 10.242818, 9.030146, 9.030146, 11.032323, 11.032323, 13.081347, 13.081347, 10.788866, 10.788866, 12.122114, 12.122114, 13.221891, 13.221891, 13.594371, 13.594371, 13.724163, 13.724163, 11.55149, 11.55149, 14.241795, 14.241795, 15.826179, 15.826179, 15.884547, 15.884547, 12.237314, 12.237314, 18.564868, 18.564868, 18.651652, 18.651652, 18.688516, 18.688516, 19.169284, 19.169284, 18.412036, 18.412036, 47.044618, 47.044618]","[35.789745, 31.57632, 31.81017, 31.496145, 32.81731, 28.072975, 30.671385, 42.41079, 31.57777, 12.784725, 13.468165, 13.967045, 15.368085, 10.772925, 29.59003, 29.78305, 30.498495, 30.76788, 9.55077, 28.828305, 59.685575, 59.738875, 59.89352, 38.76114, 46.69601, 21.398665, 22.06881, 22.50797, 45.67775, 19.114465, 29.142315, 31.65625, 46.358415, 29.14213, 30.378075, 22.877715, 45.511665, 10.327105, 10.86832, 11.039875, 9.570105, 19.16104, 21.43348, 21.8057, 29.470335, 25.15987, 59.470055, 62.01933, 62.96467, 28.54, 30.004525, 42.9065, 30.656705, 20.85676, 22.027755, 28.44726, 28.515855, 28.64155, 18.250715, 31.66869, 26.636676, 20.477956, 30.772999, 28.07271, 29.789958, 45.060873, 126.252314, 29.975046, 30.220038, 43.987977, 47.53153, 70.498574, 70.546958, 34.439431, 35.703559, 28.025094, 3.674113, 3.687937, 4.037377, 4.343809, 20.03866, 3.60576, 28.346118, 28.416006, 42.221576, 32.514823, 32.969478, 12.129794, 15.661828, 11.615234]","[27.441865, 31.458045, 25.325175, 44.95844, 15.479275, 60.660879, 13.770243, 13.831683, 15.283971, 13.155075]",,,"[10.61821, 51.242, 13.525251, 15.369219]",,"[2.570305, 2.59335, 2.61878, 2.65874, 2.678395, 2.5077, 13.00097, 14.347075, 12.92493, 27.15552, 28.67654]",,"[30.10977, 30.664715, 64.79363, 65.80472, 68.78272, 29.268345, 55.581719]",,,"[2.64982, 2.76261, 3.16085, 2.553545]",,,,"[16.537715, 58.744245, 15.835175, 29.244677, 29.120262]","[185.148075, 186.4775, 186.680935, 186.800865, 187.598025, 183.51524]","[9.663755, 10.33737, 9.133785, 15.843405, 103.309482]","[4.601135, 53.40319, 54.37103, 42.419064, 42.632482, 24.864031, 43.567113, 44.169993]",,"[23.2195, 47.99777, 27.773855]",,,,,[43.347805],"[30.74372, 46.05929]",[93.171645],"[20.60421, 13.46465, 18.10678, 38.689544, 39.343112, 39.623432, 30.743046]","[19.807995, 50.84036, 17.46696, 3.97174, 4.2273, 4.570575, 3.119725, 4.847845, 4.913415, 34.508255, 4.845515, 16.54935, 17.7711, 44.544195, 49.661275, 16.315575, 31.3764, 32.34074, 17.13288, 17.44233, 17.596745, 179.761655, 534.577835, 17.014015, 17.652805, 19.08472, 42.215905, 17.43248, 17.61265, 18.0328, 18.033255, 19.33278, 21.75324, 17.284265, 6.40865, 7.01237, 7.443185, 7.678265, 7.012415, 23.410805, 8.106435, 8.73218, 7.707415, 28.78849, 30.215315, 30.31683, 32.48767, 28.463425, 5.462095, 5.81751, 5.830905, 5.45652, 14.529115, 27.942525, 13.897495, 14.350455, 42.66475, 13.15186, 4.491985, 4.434745, 17.403275, 16.509655, 18.20634, 13.60912, 13.65118, 5.62701, 5.670005, 5.184555, 14.913795, 14.914563, 15.032067, 15.331587, 15.431427, 14.534403, 14.706435, 14.887684, 28.95975, 13.64813]","[22.22458, 23.069665, 21.51524]","[5.39222, 5.393045, 5.44906, 5.306865]",,[38.870225],[10.10268],,"[13.73841, 14.81103]"
