timestamps,datetime,carbon_intensity_avg
1659729600,2022-08-05 20:00:00+00:00,224.5
1659733200,2022-08-05 21:00:00+00:00,223.0
1659736800,2022-08-05 22:00:00+00:00,220.5
1659740400,2022-08-05 23:00:00+00:00,235.0
1659744000,2022-08-06 00:00:00+00:00,246.5
1659747600,2022-08-06 01:00:00+00:00,261.0
1659751200,2022-08-06 02:00:00+00:00,289.0
1659754800,2022-08-06 03:00:00+00:00,313.0
1659758400,2022-08-06 04:00:00+00:00,319.5
1659762000,2022-08-06 05:00:00+00:00,317.5
1659765600,2022-08-06 06:00:00+00:00,314.0
1659769200,2022-08-06 07:00:00+00:00,310.0
1659772800,2022-08-06 08:00:00+00:00,310.0
1659776400,2022-08-06 09:00:00+00:00,310.5
1659780000,2022-08-06 10:00:00+00:00,312.0
1659783600,2022-08-06 11:00:00+00:00,289.0
1659787200,2022-08-06 12:00:00+00:00,288.0
1659790800,2022-08-06 13:00:00+00:00,289.5
1659794400,2022-08-06 14:00:00+00:00,271.0
1659798000,2022-08-06 15:00:00+00:00,228.0
1659801600,2022-08-06 16:00:00+00:00,196.5
1659805200,2022-08-06 17:00:00+00:00,185.5
1659808800,2022-08-06 18:00:00+00:00,184.0
1659812400,2022-08-06 19:00:00+00:00,183.0
1659816000,2022-08-06 20:00:00+00:00,180.0
1659819600,2022-08-06 21:00:00+00:00,182.0
1659823200,2022-08-06 22:00:00+00:00,192.0
1659826800,2022-08-06 23:00:00+00:00,208.5
1659830400,2022-08-07 00:00:00+00:00,225.0
1659834000,2022-08-07 01:00:00+00:00,242.5
1659837600,2022-08-07 02:00:00+00:00,274.0
1659841200,2022-08-07 03:00:00+00:00,301.0
1659844800,2022-08-07 04:00:00+00:00,301.0
1659848400,2022-08-07 05:00:00+00:00,302.5
1659852000,2022-08-07 06:00:00+00:00,303.5
1659855600,2022-08-07 07:00:00+00:00,298.5
1659859200,2022-08-07 08:00:00+00:00,298.5
1659862800,2022-08-07 09:00:00+00:00,304.5
1659866400,2022-08-07 10:00:00+00:00,307.5
1659870000,2022-08-07 11:00:00+00:00,297.0
1659873600,2022-08-07 12:00:00+00:00,290.0
1659877200,2022-08-07 13:00:00+00:00,301.5
1659880800,2022-08-07 14:00:00+00:00,286.5
1659884400,2022-08-07 15:00:00+00:00,237.0
1659888000,2022-08-07 16:00:00+00:00,205.0
1659891600,2022-08-07 17:00:00+00:00,198.0
1659895200,2022-08-07 18:00:00+00:00,188.0
1659898800,2022-08-07 19:00:00+00:00,189.0
1659902400,2022-08-07 20:00:00+00:00,201.0
1659906000,2022-08-07 21:00:00+00:00,206.0
1659909600,2022-08-07 22:00:00+00:00,215.5
1659913200,2022-08-07 23:00:00+00:00,228.0
1659916800,2022-08-08 00:00:00+00:00,237.0
1659920400,2022-08-08 01:00:00+00:00,251.0
1659924000,2022-08-08 02:00:00+00:00,287.0
1659927600,2022-08-08 03:00:00+00:00,315.5
1659931200,2022-08-08 04:00:00+00:00,320.0
1659934800,2022-08-08 05:00:00+00:00,314.0
1659938400,2022-08-08 06:00:00+00:00,316.0
1659942000,2022-08-08 07:00:00+00:00,316.0
1659945600,2022-08-08 08:00:00+00:00,318.0
1659949200,2022-08-08 09:00:00+00:00,317.0
1659952800,2022-08-08 10:00:00+00:00,317.5
1659956400,2022-08-08 11:00:00+00:00,319.0
1659960000,2022-08-08 12:00:00+00:00,318.0
1659963600,2022-08-08 13:00:00+00:00,319.0
1659967200,2022-08-08 14:00:00+00:00,308.5
1659970800,2022-08-08 15:00:00+00:00,273.0
1659974400,2022-08-08 16:00:00+00:00,246.5
1659978000,2022-08-08 17:00:00+00:00,231.0
1659981600,2022-08-08 18:00:00+00:00,226.5
1659985200,2022-08-08 19:00:00+00:00,233.0
1659988800,2022-08-08 20:00:00+00:00,242.5
1659992400,2022-08-08 21:00:00+00:00,253.0
1659996000,2022-08-08 22:00:00+00:00,261.0
1659999600,2022-08-08 23:00:00+00:00,268.0
1660003200,2022-08-09 00:00:00+00:00,272.5
1660006800,2022-08-09 01:00:00+00:00,282.0
1660010400,2022-08-09 02:00:00+00:00,306.5
1660014000,2022-08-09 03:00:00+00:00,322.0
1660017600,2022-08-09 04:00:00+00:00,329.0
1660021200,2022-08-09 05:00:00+00:00,330.0
1660024800,2022-08-09 06:00:00+00:00,334.0
1660028400,2022-08-09 07:00:00+00:00,334.5
1660032000,2022-08-09 08:00:00+00:00,331.5
1660035600,2022-08-09 09:00:00+00:00,329.5
1660039200,2022-08-09 10:00:00+00:00,329.0
1660042800,2022-08-09 11:00:00+00:00,332.5
1660046400,2022-08-09 12:00:00+00:00,333.5
1660050000,2022-08-09 13:00:00+00:00,333.5
1660053600,2022-08-09 14:00:00+00:00,321.5
1660057200,2022-08-09 15:00:00+00:00,287.5
1660060800,2022-08-09 16:00:00+00:00,255.5
1660064400,2022-08-09 17:00:00+00:00,235.5
1660068000,2022-08-09 18:00:00+00:00,222.0
1660071600,2022-08-09 19:00:00+00:00,222.0
1660075200,2022-08-09 20:00:00+00:00,228.5
1660078800,2022-08-09 21:00:00+00:00,237.0
1660082400,2022-08-09 22:00:00+00:00,249.5
1660086000,2022-08-09 23:00:00+00:00,256.5
