timestamps,datetime,carbon_intensity_avg
1659898800,2022-08-07 19:00:00+00:00,242.0
1659902400,2022-08-07 20:00:00+00:00,251.0
1659906000,2022-08-07 21:00:00+00:00,352.0
1659909600,2022-08-07 22:00:00+00:00,265.0
1659913200,2022-08-07 23:00:00+00:00,272.0
1659916800,2022-08-08 00:00:00+00:00,278.0
1659920400,2022-08-08 01:00:00+00:00,277.0
1659924000,2022-08-08 02:00:00+00:00,282.0
1659927600,2022-08-08 03:00:00+00:00,288.0
1659931200,2022-08-08 04:00:00+00:00,292.0
1659934800,2022-08-08 05:00:00+00:00,288.0
1659938400,2022-08-08 06:00:00+00:00,280.0
1659942000,2022-08-08 07:00:00+00:00,265.0
1659945600,2022-08-08 08:00:00+00:00,255.0
1659949200,2022-08-08 09:00:00+00:00,241.0
1659952800,2022-08-08 10:00:00+00:00,239.0
1659956400,2022-08-08 11:00:00+00:00,230.0
1659960000,2022-08-08 12:00:00+00:00,226.0
1659963600,2022-08-08 13:00:00+00:00,222.0
1659967200,2022-08-08 14:00:00+00:00,226.0
1659970800,2022-08-08 15:00:00+00:00,224.0
1659974400,2022-08-08 16:00:00+00:00,226.0
1659978000,2022-08-08 17:00:00+00:00,227.0
1659981600,2022-08-08 18:00:00+00:00,231.0
1659985200,2022-08-08 19:00:00+00:00,243.0
1659988800,2022-08-08 20:00:00+00:00,251.0
1659992400,2022-08-08 21:00:00+00:00,363.0
1659996000,2022-08-08 22:00:00+00:00,264.0
1659999600,2022-08-08 23:00:00+00:00,271.0
1660003200,2022-08-09 00:00:00+00:00,275.0
1660006800,2022-08-09 01:00:00+00:00,278.0
1660010400,2022-08-09 02:00:00+00:00,283.0
1660014000,2022-08-09 03:00:00+00:00,290.0
1660017600,2022-08-09 04:00:00+00:00,294.0
1660021200,2022-08-09 05:00:00+00:00,290.0
1660024800,2022-08-09 06:00:00+00:00,283.0
1660028400,2022-08-09 07:00:00+00:00,269.0
1660032000,2022-08-09 08:00:00+00:00,257.0
1660035600,2022-08-09 09:00:00+00:00,241.0
1660039200,2022-08-09 10:00:00+00:00,239.0
1660042800,2022-08-09 11:00:00+00:00,230.0
1660046400,2022-08-09 12:00:00+00:00,226.0
1660050000,2022-08-09 13:00:00+00:00,222.0
1660053600,2022-08-09 14:00:00+00:00,226.0
1660057200,2022-08-09 15:00:00+00:00,225.0
1660060800,2022-08-09 16:00:00+00:00,226.0
1660064400,2022-08-09 17:00:00+00:00,228.0
1660068000,2022-08-09 18:00:00+00:00,231.0
1660071600,2022-08-09 19:00:00+00:00,244.0
1660075200,2022-08-09 20:00:00+00:00,253.0
1660078800,2022-08-09 21:00:00+00:00,353.0
1660082400,2022-08-09 22:00:00+00:00,268.0
1660086000,2022-08-09 23:00:00+00:00,275.0
1660089600,2022-08-10 00:00:00+00:00,279.0
1660093200,2022-08-10 01:00:00+00:00,280.0
1660096800,2022-08-10 02:00:00+00:00,286.0
1660100400,2022-08-10 03:00:00+00:00,293.0
1660104000,2022-08-10 04:00:00+00:00,296.0
