timestamps,datetime,carbon_intensity_avg
1659733200,2022-08-05 21:00:00+00:00,127.0
1659736800,2022-08-05 22:00:00+00:00,125.0
1659740400,2022-08-05 23:00:00+00:00,121.0
1659744000,2022-08-06 00:00:00+00:00,122.0
1659747600,2022-08-06 01:00:00+00:00,124.0
1659751200,2022-08-06 02:00:00+00:00,124.5
1659754800,2022-08-06 03:00:00+00:00,115.0
1659758400,2022-08-06 04:00:00+00:00,96.0
1659762000,2022-08-06 05:00:00+00:00,86.33333333333333
1659765600,2022-08-06 06:00:00+00:00,36.0
1659769200,2022-08-06 07:00:00+00:00,30.0
1659772800,2022-08-06 08:00:00+00:00,22.5
1659776400,2022-08-06 09:00:00+00:00,21.5
1659780000,2022-08-06 10:00:00+00:00,21.0
1659783600,2022-08-06 11:00:00+00:00,33.666666666666664
1659787200,2022-08-06 12:00:00+00:00,55.0
1659790800,2022-08-06 13:00:00+00:00,66.66666666666667
1659794400,2022-08-06 14:00:00+00:00,82.0
1659798000,2022-08-06 15:00:00+00:00,93.0
1659801600,2022-08-06 16:00:00+00:00,108.0
1659805200,2022-08-06 17:00:00+00:00,112.66666666666667
1659808800,2022-08-06 18:00:00+00:00,108.0
1659812400,2022-08-06 19:00:00+00:00,113.0
1659816000,2022-08-06 20:00:00+00:00,116.5
1659819600,2022-08-06 21:00:00+00:00,117.0
1659823200,2022-08-06 22:00:00+00:00,117.0
1659826800,2022-08-06 23:00:00+00:00,120.0
1659830400,2022-08-07 00:00:00+00:00,126.0
1659834000,2022-08-07 01:00:00+00:00,129.0
1659837600,2022-08-07 02:00:00+00:00,126.5
1659841200,2022-08-07 03:00:00+00:00,120.0
1659844800,2022-08-07 04:00:00+00:00,103.5
1659848400,2022-08-07 05:00:00+00:00,90.66666666666667
1659852000,2022-08-07 06:00:00+00:00,63.0
1659855600,2022-08-07 07:00:00+00:00,55.5
1659859200,2022-08-07 08:00:00+00:00,43.5
1659862800,2022-08-07 09:00:00+00:00,37.0
1659866400,2022-08-07 10:00:00+00:00,37.0
1659870000,2022-08-07 11:00:00+00:00,45.0
1659873600,2022-08-07 12:00:00+00:00,61.5
1659877200,2022-08-07 13:00:00+00:00,76.0
1659880800,2022-08-07 14:00:00+00:00,92.5
1659884400,2022-08-07 15:00:00+00:00,104.0
1659888000,2022-08-07 16:00:00+00:00,108.0
1659891600,2022-08-07 17:00:00+00:00,108.0
1659895200,2022-08-07 18:00:00+00:00,105.5
1659898800,2022-08-07 19:00:00+00:00,102.5
1659902400,2022-08-07 20:00:00+00:00,101.0
1659906000,2022-08-07 21:00:00+00:00,103.5
1659909600,2022-08-07 22:00:00+00:00,110.0
1659913200,2022-08-07 23:00:00+00:00,113.0
1659916800,2022-08-08 00:00:00+00:00,111.0
1659920400,2022-08-08 01:00:00+00:00,121.0
1659924000,2022-08-08 02:00:00+00:00,127.5
1659927600,2022-08-08 03:00:00+00:00,128.0
1659931200,2022-08-08 04:00:00+00:00,120.0
1659934800,2022-08-08 05:00:00+00:00,113.5
1659938400,2022-08-08 06:00:00+00:00,98.25
1659942000,2022-08-08 07:00:00+00:00,83.0
1659945600,2022-08-08 08:00:00+00:00,72.0
1659949200,2022-08-08 09:00:00+00:00,66.0
1659952800,2022-08-08 10:00:00+00:00,65.66666666666667
1659956400,2022-08-08 11:00:00+00:00,88.0
1659960000,2022-08-08 12:00:00+00:00,92.0
1659963600,2022-08-08 13:00:00+00:00,96.0
1659967200,2022-08-08 14:00:00+00:00,109.66666666666667
1659970800,2022-08-08 15:00:00+00:00,115.5
1659974400,2022-08-08 16:00:00+00:00,122.5
1659978000,2022-08-08 17:00:00+00:00,119.5
1659981600,2022-08-08 18:00:00+00:00,112.0
1659985200,2022-08-08 19:00:00+00:00,110.0
1659988800,2022-08-08 20:00:00+00:00,112.66666666666667
1659992400,2022-08-08 21:00:00+00:00,115.0
1659996000,2022-08-08 22:00:00+00:00,114.5
1659999600,2022-08-08 23:00:00+00:00,117.5
1660003200,2022-08-09 00:00:00+00:00,117.0
1660006800,2022-08-09 01:00:00+00:00,108.5
1660010400,2022-08-09 02:00:00+00:00,104.0
1660014000,2022-08-09 03:00:00+00:00,111.0
1660017600,2022-08-09 04:00:00+00:00,86.0
1660021200,2022-08-09 05:00:00+00:00,67.0
1660024800,2022-08-09 06:00:00+00:00,35.0
1660028400,2022-08-09 07:00:00+00:00,32.5
