,AT,BE,BG,CY,CZ,DE,DK,EE,ES,FI,FR,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,PL,PT,RO,SE,SI,SK
22,92001.0,155812.0,97950.0,23853.0,86637.0,1251879.0,142295.0,18574.0,384806.0,179000.0,921368.0,150467.0,35013.0,125095.0,367161.0,522257.0,29227.0,8224.0,16007.0,9532.0,757201.0,204005.0,138554.0,160432.0,251585.0,19485.0,31327.0
23,103647.0,164023.0,110096.0,24112.0,94132.0,1345757.0,147915.0,21346.0,386342.0,189658.0,944023.0,168406.0,38244.0,144120.0,351626.0,541064.0,34545.0,10614.0,18515.0,10308.0,794361.0,234410.0,122964.0,183351.0,261154.0,20251.0,36956.0
24,114890.0,192937.0,118485.0,25181.0,108836.0,1499615.0,159952.0,24533.0,392385.0,209942.0,994745.0,178634.0,43963.0,165506.0,396970.0,609413.0,39256.0,11500.0,20809.0,11660.0,690866.0,263155.0,118031.0,199466.0,288277.0,24700.0,44785.0
25,135567.0,200210.0,131375.0,30343.0,126117.0,1716944.0,176572.0,26042.0,425941.0,220687.0,1070804.0,206040.0,49826.0,188852.0,386516.0,677585.0,48971.0,12753.0,21689.0,14624.0,738087.0,288205.0,109190.0,231103.0,319091.0,26376.0,52780.0
26,153001.0,216637.0,148272.0,35300.0,143147.0,1916410.0,187553.0,30346.0,441666.0,239495.0,1127905.0,237912.0,54786.0,210182.0,362182.0,750697.0,52700.0,12865.0,25303.0,14683.0,766211.0,329084.0,100692.0,264017.0,348530.0,30030.0,59417.0
27,170776.0,234886.0,157938.0,34343.0,158938.0,2093887.0,205659.0,31586.0,467001.0,265335.0,1231840.0,257348.0,59621.0,227924.0,279493.0,848671.0,59480.0,16459.0,26971.0,18774.0,723754.0,365911.0,96529.0,292141.0,367576.0,34148.0,68336.0
28,183720.0,264138.0,163086.0,32994.0,183550.0,2269820.0,222776.0,36074.0,497495.0,283767.0,1302754.0,204971.0,54650.0,255215.0,351687.0,585458.0,69763.0,18050.0,28149.0,21068.0,760279.0,400103.0,91150.0,330149.0,382625.0,37864.0,78919.0
29,212040.0,298152.0,188630.0,40912.0,202743.0,2538038.0,239971.0,42935.0,554884.0,300928.0,1472825.0,312294.0,73123.0,272322.0,346792.0,1065404.0,75069.0,18183.0,30764.0,22583.0,870197.0,451932.0,86374.0,375566.0,422889.0,42894.0,88551.0
30,231080.0,324192.0,210993.0,43615.0,222920.0,2764191.0,255291.0,47664.0,610927.0,334672.0,1637073.0,349603.0,84031.0,301636.0,374316.0,1203002.0,95051.0,20358.0,35355.0,23934.0,899666.0,510778.0,83082.0,425869.0,460998.0,50440.0,97942.0
31,259408.0,369975.0,236830.0,50218.0,255906.0,3074475.0,285178.0,54205.0,732552.0,351755.0,1826074.0,395849.0,100964.0,338654.0,371129.0,1401912.0,106788.0,25454.0,43333.0,26659.0,1015979.0,618219.0,85258.0,475582.0,504895.0,59751.0,115657.0
32,279003.0,415810.0,258140.0,57911.0,274888.0,3334756.0,308298.0,59082.0,790524.0,383212.0,1992740.0,420908.0,108681.0,366681.0,278606.0,1571773.0,114987.0,24272.0,47689.0,31110.0,1101518.0,668908.0,89548.0,540577.0,551713.0,61953.0,126008.0
33,302613.6666666667,461139.0,277749.3333333333,60982.333333333336,300154.3333333333,3556153.333333333,335466.0,63198.0,890215.3333333334,404392.3333333333,2140195.333333333,467028.3333333333,120084.66666666669,397564.3333333333,290769.0,1739419.3333333333,122780.0,27671.33333333333,52749.333333333336,33376.0,1099893.3333333333,735904.3333333334,93502.66666666669,583398.0,598280.0,68095.0,138738.33333333334
