,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
53,122438.0,73720.0,460175.0,125566.0,4110298.0,386542.0,117049.0,21601.0,723759.0,1347344.0,264761.0,37224.0,995361.0,223106.0,109929.0,271374.0,133309.0,227576.0,45205.0,543235.0,325265.0,369570.0,208640.0,84754.0,304392.0,33477.0,70176.0,235440.0,48373.0,657392.0,55547.0,1077921.0,364230.0,10041.0,554334.0,152308.0,301865.0,545018.0,48405.0,181548.0,34401.0,265486.0,2077157.0,158535.0,19877.0,1902973.0,1676834.0,39361.0,191827.0,23039.0
54,123852.0,69736.0,434021.0,128467.0,3816786.0,392167.0,119260.0,22065.0,729674.0,1382185.0,252686.0,35866.0,1046016.0,226703.0,146180.0,263318.0,135518.0,224246.0,47402.0,549153.0,320921.0,380189.0,206456.0,82630.0,299205.0,33910.0,68427.0,228327.0,49912.0,655129.0,57929.0,1093607.0,395696.0,9847.0,572597.0,133146.0,290784.0,561077.0,55903.0,216200.0,37312.0,261224.0,2085148.0,151498.0,21726.0,1873258.0,1649437.0,38658.0,192575.0,23210.0
55,126466.0,65305.0,431427.0,127306.0,3794812.0,378657.0,136529.0,23685.0,781357.0,1465121.0,244960.0,33660.0,1038073.0,233283.0,138504.0,264315.0,139612.0,221077.0,56084.0,608547.0,373349.0,405121.0,207667.0,80558.0,304762.0,32582.0,68242.0,220404.0,58356.0,716356.0,57225.0,1256224.0,421495.0,11054.0,609953.0,150008.0,282714.0,613814.0,57891.0,213959.0,34634.0,272428.0,1983527.0,155386.0,24178.0,1955876.0,1598187.0,45236.0,194671.0,21960.0
56,119054.0,58460.0,407794.0,130028.0,3402506.0,366558.0,134494.0,23896.0,797501.0,1456001.0,223789.0,35608.0,1202850.0,241552.0,103890.0,259756.0,140945.0,216896.0,61494.0,585839.0,377916.0,403575.0,207705.0,82234.0,296890.0,33275.0,65788.0,213137.0,60767.0,691209.0,53735.0,1179182.0,420658.0,11256.0,617258.0,166315.0,267373.0,622079.0,62891.0,217642.0,35145.0,271050.0,2029182.0,148206.0,25387.0,2041713.0,1559420.0,44438.0,194106.0,21496.0
57,124999.0,55852.0,388532.0,128325.0,3437808.0,361797.0,139967.0,25005.0,816421.0,1494000.0,214874.0,31216.0,1030814.0,243047.0,130842.0,255364.0,139398.0,217922.0,63076.0,616789.0,389908.0,410679.0,204476.0,78452.0,291214.0,28399.0,64783.0,207517.0,66336.0,719447.0,52333.0,1167868.0,418746.0,9530.0,628888.0,159781.0,257613.0,644447.0,64573.0,233850.0,33936.0,274010.0,2126320.0,145954.0,28733.0,2017780.0,1582331.0,43181.0,199615.0,20404.0
58,123184.0,49006.0,379011.0,130822.0,3078794.0,331374.0,151364.0,26857.0,838200.0,1458016.0,201874.0,30436.0,1209993.0,253350.0,146466.0,261190.0,142562.0,213784.0,77486.0,641210.0,419395.0,423346.0,203133.0,86652.0,295631.0,29533.0,68046.0,197517.0,72832.0,743180.0,48526.0,1228640.0,447829.0,9649.0,647355.0,128171.0,242336.0,668740.0,66955.0,228326.0,34005.0,277066.0,2267315.0,140615.0,31022.0,2147192.0,1471432.0,45285.0,197768.0,20683.0
59,123908.0,48824.0,354914.0,133757.0,3115975.0,340019.0,161099.0,25119.0,865847.0,1630396.0,192389.0,29028.0,1188462.0,255460.0,112830.0,266618.0,148428.0,215742.0,80889.0,660569.0,448657.0,434654.0,205381.0,78999.0,300243.0,27454.0,67724.0,188313.0,73871.0,789347.0,49969.0,1280937.0,449457.0,10127.0,670089.0,160657.0,226963.0,703252.0,71943.0,243927.0,35656.0,285562.0,2268883.0,117917.0,34944.0,2164325.0,1532250.0,45335.0,205581.0,20001.0
60,129177.0,45118.0,361469.0,140444.0,3246642.0,343640.0,179289.0,28463.0,921621.0,1534575.0,177624.0,31104.0,1055575.0,272016.0,113089.0,266670.0,157491.0,221460.0,91426.0,712575.0,504799.0,470595.0,213576.0,83523.0,313040.0,28072.0,69351.0,177696.0,85711.0,883184.0,52052.0,1389672.0,491501.0,10192.0,735205.0,158949.0,236137.0,772705.0,82110.0,243496.0,35829.0,301423.0,2157753.0,118348.0,37403.0,2062545.0,1326143.0,45715.0,213880.0,20721.0
61,129768.0,41724.0,351475.0,146050.0,2849657.0,342765.0,205228.0,27467.0,981960.0,1595148.0,170789.0,28534.0,1169976.0,300253.0,172726.0,280054.0,163307.0,237119.0,102885.0,755391.0,542290.0,497323.0,216527.0,85944.0,316184.0,27401.0,70270.0,175533.0,91034.0,946536.0,48510.0,1520810.0,562491.0,9368.0,764966.0,162474.0,226728.0,819947.0,90877.0,290637.0,34644.0,310265.0,2246632.0,117490.0,43122.0,2060381.0,1503722.0,48555.0,220225.0,20787.0
62,138366.0,40259.0,342710.0,149794.0,2966954.0,353454.0,222703.0,34971.0,1024883.0,1678321.0,153286.0,27506.0,1194375.0,296848.0,79919.0,298187.0,172283.0,237581.0,109077.0,812284.0,596614.0,528108.0,227492.0,91631.0,337853.0,28597.0,74479.0,179060.0,102132.0,998411.0,48997.0,1618422.0,511564.0,10913.0,810604.0,154443.0,221615.0,879298.0,101698.0,236989.0,37090.0,321643.0,2458351.0,115449.0,48232.0,2168146.0,1553896.0,53444.0,228623.0,18062.0
