,New Brunswick,Washington,California,Virginia,Ohio,Louisiana,Wisconsin,Mississippi,Texas,Delaware,Ontario,Alberta,North Carolina,Massachusetts,Connecticut,Florida,Colorado,Michigan,Indiana,Iowa,Saskatchewan,Oklahoma,Tennessee,Georgia,Maine,Nebraska,New York,Idaho,British Columbia,Manitoba,New Jersey,Minnesota,Oregon,Pennsylvania,Utah,Arizona,Rhode Island,Quebec,Newfoundland and Labrador,New Mexico,Arkansas,Maryland,Illinois,Kentucky,District of Columbia,New Hampshire,Missouri,Nova Scotia,Nevada,Kansas,North Dakota,Vermont,South Carolina,Puerto Rico,Alaska,Hawaii,West Virginia,Montana,Northwest Territories,South Dakota,Alabama,Wyoming,Yukon,"Washington, D.C.",North Virginia
Massachusetts,11.175595,19.21812021739131,25.2571297265625,22.635605112903228,69.27745621428572,56.3964675,94.66375000000001,19.804048,15.209910141025638,12.72384,86.47257109677419,25.371673625,14.239382057142857,14.98229705063291,14.590716,29.772387970588234,40.946349847826085,79.17786481818182,29.0687125,34.217361999999994,,16.149606666666667,26.7458,20.45918583333333,26.377498000000003,36.71864214285715,19.124725860215054,124.843965,60.837959999999995,89.11611459999999,21.238896945945946,41.008685722222225,9.259815714285713,27.0414008,64.639281,30.5848572,,33.52082342857143,,89.769635,19.893345,17.532359636363637,40.284194423076926,127.95751,5.606025,25.43666557894737,32.897193,,18.307315250000002,4.887958,,33.577756666666666,40.28185666666667,69.578555,92.765765,77.08931791666667,29.11734,,,,,,17.783812,12.724951666666668,
Connecticut,,5.4989300000000005,15.16827,21.983335,,3.2836175,,,21.858890000000002,,,,,14.590716,,,28.013255,,,,,,,,,,10.752835000000001,,,,3.9134925000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.284320000000001,
Florida,,29.657559400000004,11.514379999999997,40.41928346666667,,,,,20.37462266666667,,,,,29.772387970588234,,15.826440901639344,22.01522357142857,,,,,,,33.77885979999999,,,14.989244499999998,127.66702,,,31.6355275,,,54.19401,,,,,,,,,34.506221,,27.041405,,,,,,,,,,,,,,,,28.159595,,,26.695882,
Colorado,,,21.27515011764706,27.10514147619047,9.7701145,25.290212968749998,36.380246666666665,,28.855115125,,45.676956000000004,,25.415909,40.946349847826085,28.013255,22.01522357142857,24.123927243243244,55.422815,,,84.19410500000001,,27.010825,17.7913535,,,21.91979353846154,,,,16.812516444444444,,44.595754,33.4494061875,,44.2933055,,42.98969125,,40.029315,,4.3269874999999995,24.538576772727275,,9.679594750000001,30.839823000000003,2171.570955,56.084825,,5.080955,,27.884028333333333,,78.873495,,72.50103607142856,,,,,,,,46.1641445,
Michigan,,,65.14007,47.007568000000006,,,,,,,,,,79.17786481818182,,,55.422815,3.233440808510638,11.212979166666669,,,,,,,,24.908999,,,,18.2966715,37.201695,,,,,,,,,,,22.194050161290324,,,,,,,,,,,,,,,,,,,,,,
Indiana,,186.03677333333334,48.693854,121.620275,10.580061428571428,,28.245343333333334,,,,43.0676425,,,29.0687125,,,,11.212979166666669,16.750605,,,,,,,,23.001309999999997,,,,26.7291125,25.478745,,,,,,,,,,,17.30563875,,,,,,,,,,,,,,,,,,,,,32.59303,
Iowa,,59.34684242222222,60.045671975703314,38.142717246913584,35.77143346666667,,58.8293,,45.916813554545456,,33.41054690049751,,,34.217361999999994,,,,,,689.9482445454546,,,,,,7.776304285714285,,,,,,,65.14157585294119,,52.70669555357142,69.99797701428571,,44.55690745744681,,,,,22.691992681818185,,,,,,66.25462466666667,,,,48.673962307692314,,,,,,,,,,,43.39053714285715,45.06143285714286
Saskatchewan,,,,,,,,,,,,,,,,,84.19410500000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,,14.27472,,16.7785585,,,,,14.87662,,,,,16.149606666666667,,,,,,,,,,18.224386000000003,,,,,,,,,,,,9.571593333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,,,,,,25.38554,,,,,,,,26.7458,,,27.010825,,,,,,,22.14621423076923,,,,,,,25.833105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1244825,,,20.749915,
Georgia,,10.157482272727272,12.801962692307692,48.159291333333336,,23.00291375,,,30.261984999999996,,,,21.903155090909088,20.45918583333333,,33.77885979999999,17.7913535,,,,,18.224386000000003,22.14621423076923,9.460229804123712,,25.292795,81.05395999999999,,,,28.506190833333335,41.1677,,,,12.590879866666667,10.8658825,,,,,19.69282,,,,,,,9.20352175,8.430364333333333,,,16.14249269230769,,,,,,,,8.389235,,,12.306889,
Maine,,10.10268,,52.672740999999995,,,,,28.71691,,,,,26.377498000000003,,,,,,,,,,,2.217741666666667,,32.919844999999995,,,,24.04706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,,,32.332445,24.688205,,,,,34.402564999999996,,,,,36.71864214285715,,,,,,7.776304285714285,,,,25.292795,,10.44872,,,,,,,,,,,,,,,,,55.884749375,,,,,,,,,,,,,,,,,,,,,,
New York,,,14.051168749999999,26.715594566037737,11.900545999999999,,,,15.83523590909091,11.922162499999999,18.786953,,13.598645,19.124725860215054,10.752835000000001,14.989244499999998,21.91979353846154,24.908999,23.001309999999997,,,,,81.05395999999999,32.919844999999995,,11.586232859060402,,,6.138314421052631,10.47485114925373,,,22.621886085714287,,28.713175,15.65056,13.736978333333333,,,,10.848412285714284,40.22279199999999,,6.861736250000001,26.44754842857143,,,,1.1873285,,22.115448,,,,,,,,,,,,12.794742,
Idaho,,29.896414799999995,80.19531699999999,,,,,,118.782675,,,,,124.843965,,127.66702,,,,,,,,,,,,8.807671111111112,,,,,,,,49.01739,,,,,,,69.46049433333333,,,,,,,,,,,,,,,,,,,,,,
British Columbia,,12.9752146875,29.6738789,,,,,,,,,,,60.837959999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manitoba,,34.358011,43.710122250000005,,,,,,,,,,,89.11611459999999,,,,,,,,,,,,,6.138314421052631,,,,,39.90365283333333,,,,,,,,,,,26.79721166666667,,,,,,,,,,,,,,,,,,,,,,
New Jersey,,32.99704166666667,26.975435727272725,13.382894058823531,35.81361999999999,,,,19.530786800000005,15.42588,29.717407499999997,,,21.238896945945946,3.9134925000000003,31.6355275,16.812516444444444,18.2966715,26.7291125,,,,25.833105,28.506190833333335,24.04706,,10.47485114925373,,,,13.021416231884059,20.536475625,18.91531761111111,15.600586897959182,38.535176,87.735025,13.56657,14.48547,,,50.037323333333326,11.7102608,14.290543972972973,,12.20386,27.07030175,,,,,,,,,,,,,,,,,,14.43299625,
